	#featureID	csi_smiles	ms2_smiles	ms2_library_match	parent_mass	retention_time	table_number	smiles	structure_source	kingdom	superclass	class	subclass	direct_parent
6cb9877dd737e2c943bf72ba0f114e30	291	CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC	missing	missing	missing	missing	1	CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC	CSIFingerID	Organic compounds	Benzenoids	Benzene and substituted derivatives	Nitrobenzenes	Nitrophenyl ethers
35c908e555dfb3ab221f68183fd21d5b	153	missing	missing	missing	missing	missing	1	missing	missing	unclassified	unclassified	unclassified	unclassified	unclassified
5d4fc8b6a0726b0f1257921addf300c1	257	CC1=CC(=C(C=C1)OC)NC(=O)C(=O)NNC(=O)C2=CC=CO2	missing	missing	missing	missing	1	CC1=CC(=C(C=C1)OC)NC(=O)C(=O)NNC(=O)C2=CC=CO2	CSIFingerID	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acid amides
a84abbad64d4daea0d5c0b7c86950523	215	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)O)(CO)O	missing	missing	missing	missing	1	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)O)(CO)O	CSIFingerID	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Streptamine aminoglycosides
8cdaa662803d730cd3d608604b8ccc1b	209	COC1=CC=C(C=C1)N2C(=O)C(NC2=O)CC(=O)NCCC(=O)OC	missing	missing	missing	missing	1	COC1=CC=C(C=C1)N2C(=O)C(NC2=O)CC(=O)NCCC(=O)OC	CSIFingerID	unclassified	unclassified	unclassified	unclassified	unclassified
9d56e90a5fae5721052d961ef7e7d2a5	295	missing	missing	missing	missing	missing	1	missing	missing	unclassified	unclassified	unclassified	unclassified	unclassified
68419107dd2c1d6cabda9631e27db1d0	316	missing	missing	missing	missing	missing	1	missing	missing	unclassified	unclassified	unclassified	unclassified	unclassified
47c0cbbc8f2c445fd8af445c4785f491	25	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O	missing	missing	missing	missing	1	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O	CSIFingerID	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids
1b36dcb100265ef492b2651e68fdca1e	325	CC(C(C(=O)NC(CO)C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)N)O	missing	missing	missing	missing	1	CC(C(C(=O)NC(CO)C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)N)O	CSIFingerID	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Oligopeptides
5f2406154fc8ef0127f3bcc3bf4cbed0	14	CCN(CCCOC(=O)C1=CC(=C(C(=C1)OC)OC)OC)CCC2=CC=CC=C2OC	missing	missing	missing	missing	1	CCN(CCCOC(=O)C1=CC(=C(C(=C1)OC)OC)OC)CCC2=CC=CC=C2OC	CSIFingerID	unclassified	unclassified	unclassified	unclassified	unclassified
1357c3aa1b8ab3debd38b96ad1787d01	363	C1=C(C=NC=C1C(=O)NCCO[N+](=O)[O-])C(=O)NCCO[N+](=O)[O-]	missing	missing	missing	missing	1	C1=C(C=NC=C1C(=O)NCCO[N+](=O)[O-])C(=O)NCCO[N+](=O)[O-]	CSIFingerID	unclassified	unclassified	unclassified	unclassified	unclassified
b79951d6c761e531a05659cb65255bcd	300	CCC(C)C(C(=O)O)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC(=O)O)N	missing	missing	missing	missing	1	CCC(C)C(C(=O)O)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CC(=O)O)N	CSIFingerID	unclassified	unclassified	unclassified	unclassified	unclassified
01678bcea2b58f4934ca047a3d8d6b97	366	missing	missing	missing	missing	missing	1	missing	missing	unclassified	unclassified	unclassified	unclassified	unclassified
